period,dong_code,district,dong,category,store_count
2024-03-01,30140640,중구,부사동,교육 서비스업,7
2024-03-01,30140640,중구,부사동,보건의료업,3
2024-03-01,30140640,중구,부사동,부동산업,11
2024-03-01,30140640,중구,부사동,"사업시설 관리, 사업 지원 및 임대 서비스업",12
2024-03-01,30140640,중구,부사동,소매업,147
2024-03-01,30140640,중구,부사동,수리 및 개인 서비스업,49
2024-03-01,30140640,중구,부사동,숙박업,3
2024-03-01,30140640,중구,부사동,"예술, 스포츠 및 여가관련 서비스업",22
2024-03-01,30140640,중구,부사동,음식점업,150
2024-03-01,30140640,중구,부사동,"전문, 과학 및 기술 서비스업",22
2024-03-01,30140655,중구,용두동,교육 서비스업,21
2024-03-01,30140655,중구,용두동,보건의료업,4
2024-03-01,30140655,중구,용두동,부동산업,24
2024-03-01,30140655,중구,용두동,"사업시설 관리, 사업 지원 및 임대 서비스업",26
2024-03-01,30140655,중구,용두동,소매업,163
2024-03-01,30140655,중구,용두동,수리 및 개인 서비스업,92
2024-03-01,30140655,중구,용두동,숙박업,4
2024-03-01,30140655,중구,용두동,"예술, 스포츠 및 여가관련 서비스업",12
2024-03-01,30140655,중구,용두동,음식점업,132
2024-03-01,30140655,중구,용두동,"전문, 과학 및 기술 서비스업",32
2024-03-01,30140670,중구,오류동,교육 서비스업,26
2024-03-01,30140670,중구,오류동,보건의료업,14
2024-03-01,30140670,중구,오류동,부동산업,22
2024-03-01,30140670,중구,오류동,"사업시설 관리, 사업 지원 및 임대 서비스업",34
2024-03-01,30140670,중구,오류동,소매업,165
2024-03-01,30140670,중구,오류동,수리 및 개인 서비스업,70
2024-03-01,30140670,중구,오류동,숙박업,7
2024-03-01,30140670,중구,오류동,"예술, 스포츠 및 여가관련 서비스업",49
2024-03-01,30140670,중구,오류동,음식점업,346
2024-03-01,30140670,중구,오류동,"전문, 과학 및 기술 서비스업",66
2024-03-01,30140680,중구,태평1동,교육 서비스업,19
2024-03-01,30140680,중구,태평1동,보건의료업,3
2024-03-01,30140680,중구,태평1동,부동산업,12
2024-03-01,30140680,중구,태평1동,"사업시설 관리, 사업 지원 및 임대 서비스업",13
2024-03-01,30140680,중구,태평1동,소매업,157
2024-03-01,30140680,중구,태평1동,수리 및 개인 서비스업,81
2024-03-01,30140680,중구,태평1동,숙박업,1
2024-03-01,30140680,중구,태평1동,"예술, 스포츠 및 여가관련 서비스업",25
2024-03-01,30140680,중구,태평1동,음식점업,168
2024-03-01,30140680,중구,태평1동,"전문, 과학 및 기술 서비스업",19
2024-03-01,30140690,중구,태평2동,교육 서비스업,14
2024-03-01,30140690,중구,태평2동,보건의료업,2
2024-03-01,30140690,중구,태평2동,부동산업,16
2024-03-01,30140690,중구,태평2동,"사업시설 관리, 사업 지원 및 임대 서비스업",13
2024-03-01,30140690,중구,태평2동,소매업,140
2024-03-01,30140690,중구,태평2동,수리 및 개인 서비스업,57
2024-03-01,30140690,중구,태평2동,숙박업,2
2024-03-01,30140690,중구,태평2동,"예술, 스포츠 및 여가관련 서비스업",14
2024-03-01,30140690,중구,태평2동,음식점업,109
2024-03-01,30140690,중구,태평2동,"전문, 과학 및 기술 서비스업",21
2024-03-01,30140700,중구,유천1동,교육 서비스업,35
2024-03-01,30140700,중구,유천1동,보건의료업,7
2024-03-01,30140700,중구,유천1동,부동산업,9
2024-03-01,30140700,중구,유천1동,"사업시설 관리, 사업 지원 및 임대 서비스업",15
2024-03-01,30140700,중구,유천1동,소매업,151
2024-03-01,30140700,중구,유천1동,수리 및 개인 서비스업,73
2024-03-01,30140700,중구,유천1동,숙박업,25
2024-03-01,30140700,중구,유천1동,"예술, 스포츠 및 여가관련 서비스업",50
2024-03-01,30140700,중구,유천1동,음식점업,269
2024-03-01,30140700,중구,유천1동,"전문, 과학 및 기술 서비스업",31
2024-03-01,30140710,중구,유천2동,교육 서비스업,23
2024-03-01,30140710,중구,유천2동,보건의료업,12
2024-03-01,30140710,중구,유천2동,부동산업,25
2024-03-01,30140710,중구,유천2동,"사업시설 관리, 사업 지원 및 임대 서비스업",32
2024-03-01,30140710,중구,유천2동,소매업,162
2024-03-01,30140710,중구,유천2동,수리 및 개인 서비스업,121
2024-03-01,30140710,중구,유천2동,숙박업,2
2024-03-01,30140710,중구,유천2동,"예술, 스포츠 및 여가관련 서비스업",35
2024-03-01,30140710,중구,유천2동,음식점업,210
2024-03-01,30140710,중구,유천2동,"전문, 과학 및 기술 서비스업",35
2024-03-01,30140720,중구,문화1동,교육 서비스업,29
2024-03-01,30140720,중구,문화1동,보건의료업,10
2024-03-01,30140720,중구,문화1동,부동산업,9
2024-03-01,30140720,중구,문화1동,"사업시설 관리, 사업 지원 및 임대 서비스업",24
2024-03-01,30140720,중구,문화1동,소매업,194
2024-03-01,30140720,중구,문화1동,수리 및 개인 서비스업,81
2024-03-01,30140720,중구,문화1동,숙박업,6
2024-03-01,30140720,중구,문화1동,"예술, 스포츠 및 여가관련 서비스업",27
