period,category_code,category,store_count,confirmed_count,coverage_status,has_legacy_ancestor,crosswalk_type,mapping_type,mapping_confidence
2025-03-01,M11202,제품 디자인업,94,94,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,M11203,시각 디자인업,301,301,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,N10301,조경 유지·관리 서비스업,37,37,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,N10501,여행사,301,301,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,N10599,기타 여행 보조/예약 서비스업,29,29,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,N10999,기타 운송장비 대여업,21,21,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,N11101,건설기계/장비 대여업,62,62,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,P10607,청소년 수련시설,12,12,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,P10701,교육컨설팅업,151,151,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,Q10101,종합병원,13,13,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,Q10102,일반병원,37,37,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,Q10103,치과병원,6,6,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,Q10104,한방병원,15,15,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,Q10105,요양병원,50,50,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,Q10201,내과/소아과 의원,254,254,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,Q10202,외과 의원,110,110,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,Q10203,신경/정신과 의원,69,69,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,Q10204,피부/비뇨기과 의원,144,144,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,Q10205,안과 의원,36,36,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,Q10206,이비인후과 의원,54,54,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,Q10207,산부인과 의원,43,43,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,Q10208,성형외과 의원,45,45,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,Q10209,기타 의원,108,108,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,Q10210,치과의원,416,416,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,Q10211,한의원,371,371,관측체계 내 확정집계,False,추가,추가,소분류확정
