period,category_code,category,store_count,confirmed_count,coverage_status
2024-09-01,M103,법무관련 서비스업,660,660,관측체계 내 확정집계
2024-09-01,M104,회계 및 세무관련 서비스업,337,337,관측체계 내 확정집계
2024-09-01,M105,광고업,953,953,관측체계 내 확정집계
2024-09-01,M106,시장 조사 및 여론 조사업,42,42,관측체계 내 확정집계
2024-09-01,M107,회사 본부 및 경영 컨설팅 서비스업,958,958,관측체계 내 확정집계
2024-09-01,M109,"건축 기술, 엔지니어링 및 관련 기술 서비스업",1017,1017,관측체계 내 확정집계
2024-09-01,M111,수의업,103,103,관측체계 내 확정집계
2024-09-01,M112,전문 디자인업,1049,1049,관측체계 내 확정집계
2024-09-01,M113,사진 촬영 및 처리업,471,471,관측체계 내 확정집계
2024-09-01,M114,인쇄 및 제품 제작업,613,613,관측체계 내 확정집계
2024-09-01,M115,"그 외 기타 전문, 과학 및 기술 서비스업",82,82,관측체계 내 확정집계
2024-09-01,N101,사업시설 유지ㆍ관리 서비스업,172,172,관측체계 내 확정집계
2024-09-01,N102,건물ㆍ산업설비 청소 및 방제 서비스업,834,834,관측체계 내 확정집계
2024-09-01,N103,조경관리 및 유지 서비스업,37,37,관측체계 내 확정집계
2024-09-01,N104,고용 알선 및 인력 공급업,361,361,관측체계 내 확정집계
2024-09-01,N105,여행사 및 기타 여행 보조 서비스업,312,312,관측체계 내 확정집계
2024-09-01,N107,사무 지원 서비스업,138,138,관측체계 내 확정집계
2024-09-01,N108,기타 사업 지원 서비스업,345,345,관측체계 내 확정집계
2024-09-01,N109,운송장비 대여업,102,102,관측체계 내 확정집계
2024-09-01,N110,개인 및 가정용품 대여업,248,248,관측체계 내 확정집계
2024-09-01,N111,산업용 기계 및 장비 대여업,181,181,관측체계 내 확정집계
2024-09-01,P105,일반 교육기관,857,857,관측체계 내 확정집계
2024-09-01,P106,기타 교육기관,1969,1969,관측체계 내 확정집계
2024-09-01,P107,교육 지원 서비스업,278,278,관측체계 내 확정집계
2024-09-01,Q101,병원,89,89,관측체계 내 확정집계
2024-09-01,Q102,의원,584,584,관측체계 내 확정집계
2024-09-01,Q104,기타 보건업,71,71,관측체계 내 확정집계
2024-09-01,R102,"도서관, 사적지 및 유사 여가관련 서비스업",305,305,관측체계 내 확정집계
2024-09-01,R103,스포츠 서비스업,1247,1247,관측체계 내 확정집계
2024-09-01,R104,유원지 및 기타 오락관련 서비스업,1741,1741,관측체계 내 확정집계
2024-09-01,S201,컴퓨터 및 주변 기기 수리업,254,254,관측체계 내 확정집계
2024-09-01,S202,통신장비 수리업,43,43,관측체계 내 확정집계
2024-09-01,S203,자동차 수리 및 세차업,1651,1651,관측체계 내 확정집계
2024-09-01,S204,모터사이클 수리업,83,83,관측체계 내 확정집계
2024-09-01,S205,가전제품 수리업,385,385,관측체계 내 확정집계
2024-09-01,S206,기타 개인 및 가정용품 수리업,484,484,관측체계 내 확정집계
2024-09-01,S207,이용 및 미용업,5319,5319,관측체계 내 확정집계
2024-09-01,S208,"욕탕, 마사지 및 기타 신체 관리 서비스업",305,305,관측체계 내 확정집계
2024-09-01,S209,세탁업,746,746,관측체계 내 확정집계
2024-09-01,S210,장례식장 및 관련 서비스업,138,138,관측체계 내 확정집계
2024-09-01,S211,기타 개인서비스,96,96,관측체계 내 확정집계
2024-12-01,G202,자동차 부품 및 내장품 소매업,331,331,관측체계 내 확정집계
